Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User Profile,Chrome 136.0.0.0,,,09-05-2025 20:21:06,09-05-2025 20:22:16,1m - 10.699s,PASSED
,,,,,,,
Test Cases/User_SignIn,Chrome 136.0.0.0,,,09-05-2025 20:21:06,09-05-2025 20:21:53,47.265s,PASSED
"openBrowser("""")",Chrome 136.0.0.0,,,09-05-2025 20:21:07,09-05-2025 20:21:10,3.474s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 136.0.0.0,,,09-05-2025 20:21:10,09-05-2025 20:21:12,2.173s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/a_Back to Register""))",Chrome 136.0.0.0,,,09-05-2025 20:21:12,09-05-2025 20:21:13,0.901s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Username_input""), ""vika"")",Chrome 136.0.0.0,,,09-05-2025 20:21:13,09-05-2025 20:21:14,1.017s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Name_input""), ""Vika"")",Chrome 136.0.0.0,,,09-05-2025 20:21:14,09-05-2025 20:21:15,0.714s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Surname_input""), ""Ushkalo"")",Chrome 136.0.0.0,,,09-05-2025 20:21:15,09-05-2025 20:21:16,0.761s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Age_input""), ""16"")",Chrome 136.0.0.0,,,09-05-2025 20:21:16,09-05-2025 20:21:16,0.807s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Phone_input""), ""+3859668575"")",Chrome 136.0.0.0,,,09-05-2025 20:21:16,09-05-2025 20:21:17,0.747s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Email Address_input""), ""vika@ktu.lt"")",Chrome 136.0.0.0,,,09-05-2025 20:21:17,09-05-2025 20:21:18,0.674s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Employee Sustainability Page/select_Select GenderMaleFemale""), ""female"", true)",Chrome 136.0.0.0,,,09-05-2025 20:21:18,09-05-2025 20:21:19,0.966s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Password_input""), ""aeHFOx8jV/A="")",Chrome 136.0.0.0,,,09-05-2025 20:21:19,09-05-2025 20:21:19,0.428s,PASSED
