Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Main_Page,Chrome 136.0.0.0,,,09-05-2025 20:46:51,09-05-2025 20:47:03,12.394s,PASSED
,,,,,,,
Test Cases/Main_Page,Chrome 136.0.0.0,,,09-05-2025 20:46:51,09-05-2025 20:47:03,12.165s,PASSED
"openBrowser("""")",Chrome 136.0.0.0,,,09-05-2025 20:46:51,09-05-2025 20:46:54,2.947s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Chrome 136.0.0.0,,,09-05-2025 20:46:54,09-05-2025 20:46:56,2.386s,PASSED
"setText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Username_input""), ""anna"")",Chrome 136.0.0.0,,,09-05-2025 20:46:56,09-05-2025 20:46:57,0.960s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Employee Sustainability Page/input_Password_input""), ""aeHFOx8jV/A="")",Chrome 136.0.0.0,,,09-05-2025 20:46:57,09-05-2025 20:46:58,0.379s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Sustainability Page/button_Image ID 1_button""))",Chrome 136.0.0.0,,,09-05-2025 20:46:58,09-05-2025 20:46:58,0.379s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/h3_Calculate your Footprint with Carbon Calculator""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:46:58,09-05-2025 20:46:59,0.861s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/img_Calculate your Footprint with Carbon Ca_0fcbf2""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:46:59,09-05-2025 20:46:59,0.285s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/img_Calculate your Footprint with Carbon Ca_6a1ca4""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:46:59,09-05-2025 20:47:00,0.279s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/div_cool page_cdx-list__item-content""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:00,09-05-2025 20:47:00,0.301s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/h3_Share your Experience how to achieve goals""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:00,09-05-2025 20:47:00,0.284s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/img_Share your Experience how to achieve go_7375ce""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:00,09-05-2025 20:47:00,0.269s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/h3_Explore Analytics and Posts to gain knowledge""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:00,09-05-2025 20:47:01,0.268s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/img_Explore Analytics and Posts to gain kno_00649e""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:01,09-05-2025 20:47:01,0.284s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/h3_Book you place in Sustainability Events""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:01,09-05-2025 20:47:01,0.265s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/img_Explore Analytics and Posts to gain kno_00649e_1""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:01,09-05-2025 20:47:02,0.283s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/h2_Empower people to take action for a sust_290382""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:02,09-05-2025 20:47:02,0.271s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/p_Protecting natural resources and reducing waste""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:02,09-05-2025 20:47:02,0.288s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/div_SocialEnsuring equality and well-being for all""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:02,09-05-2025 20:47:02,0.282s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/div_EconomicBuilding stable economies that _ebbbf2""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:02,09-05-2025 20:47:03,0.275s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Employee Sustainability Page/img_Economic_image-motion""), 0)",Chrome 136.0.0.0,,,09-05-2025 20:47:03,09-05-2025 20:47:03,0.279s,PASSED
